"local_file","property_or_address","category","selection_role","source_page_or_local_source","original_asset_url","accessed_date","qa_notes"
"subjects\359-parke\359-parke-hero-front.jpg","359 Parke St, Pasadena, CA 91103","subject","Primary hero","C:\Users\gscher\OneDrive - Marcus & Millichap\Niculete, Filip's files - LAAA Team\Proposals\Glen's Proposals\2026\Brio Real Estate\359 Parke\02_Extracted_Data\Historical_MLS_Images\2019_unit_1_exterior_front_01.jpg","","2026-07-30","Exact saved MLS exterior; 640x427; strongest subject hero."
"subjects\359-parke\359-parke-front-alt.jpg","359 Parke St, Pasadena, CA 91103","subject","Alternate exterior","C:\Users\gscher\OneDrive - Marcus & Millichap\Niculete, Filip's files - LAAA Team\Proposals\Glen's Proposals\2026\Brio Real Estate\359 Parke\02_Extracted_Data\Historical_MLS_Images\2019_unit_1_exterior_front_11.jpg","","2026-07-30","Exact saved MLS exterior; 640x427."
"subjects\359-parke\359-parke-living-room.jpg","359 Parke St, Pasadena, CA 91103","subject","Interior gallery","C:\Users\gscher\OneDrive - Marcus & Millichap\Niculete, Filip's files - LAAA Team\Proposals\Glen's Proposals\2026\Brio Real Estate\359 Parke\02_Extracted_Data\Historical_MLS_Images\2019_unit_1_interior_living_room_02.jpg","","2026-07-30","Exact saved MLS interior; 640x427."
"subjects\359-parke\359-parke-kitchen.jpg","359 Parke St, Pasadena, CA 91103","subject","Interior gallery","C:\Users\gscher\OneDrive - Marcus & Millichap\Niculete, Filip's files - LAAA Team\Proposals\Glen's Proposals\2026\Brio Real Estate\359 Parke\02_Extracted_Data\Historical_MLS_Images\2019_unit_1_interior_kitchen_03.jpg","","2026-07-30","Exact saved MLS interior; 640x427."
"subjects\359-parke\359-parke-bedroom.jpg","359 Parke St, Pasadena, CA 91103","subject","Interior gallery","C:\Users\gscher\OneDrive - Marcus & Millichap\Niculete, Filip's files - LAAA Team\Proposals\Glen's Proposals\2026\Brio Real Estate\359 Parke\02_Extracted_Data\Historical_MLS_Images\2019_unit_1_interior_bedroom_08.jpg","","2026-07-30","Exact saved MLS interior; 640x427."
"subjects\359-parke\359-parke-laundry.jpg","359 Parke St, Pasadena, CA 91103","subject","Supporting physical-detail image","C:\Users\gscher\OneDrive - Marcus & Millichap\Niculete, Filip's files - LAAA Team\Proposals\Glen's Proposals\2026\Brio Real Estate\359 Parke\02_Extracted_Data\Historical_MLS_Images\2015_sale_laundry_room_06.jpg","","2026-07-30","Exact saved MLS image; 320x240; supporting use only."
"subjects\1623-menlo\1623-menlo-online-primary.jpg","1623 Menlo Ave, Los Angeles, CA 90006","subject","Primary exterior hero","https://www.apartments.com/1623-menlo-ave-los-angeles-ca/rhze5j3/","https://images1.apartments.com/i2/E22eIRMxANTwQh547kg4dH0ZCBEfHZf-MKHtriL26uw/111/1623-menlo-ave-los-angeles-ca-primary-photo.jpg?p=1","2026-07-30","Exact property exterior; 600x375; address visible; best verified exterior available."
"subjects\1623-menlo\1623-menlo-online-building-01.jpg","1623 Menlo Ave, Los Angeles, CA 90006","subject","Exterior/parking gallery","https://www.apartments.com/1623-menlo-ave-los-angeles-ca/rhze5j3/","https://images1.apartments.com/i2/L4p4xpHTqQ3wa56gM_UPm9u9V89OFa7id7eIXCw05mo/117/1623-menlo-ave-los-angeles-ca-building-photo.jpg?p=1","2026-07-30","Exact property; 650x488; parking view, supporting use only."
"subjects\1623-menlo\1623-menlo-online-building-02.jpg","1623 Menlo Ave, Los Angeles, CA 90006","subject","Alternate exterior","https://www.apartments.com/1623-menlo-ave-los-angeles-ca/rhze5j3/","https://images1.apartments.com/i2/HqH6xcm2K1snjkAgsPWOOVTiHZIloDX_SBgbGMemWW0/117/1623-menlo-ave-los-angeles-ca-building-photo.jpg?p=1","2026-07-30","Exact property; 650x488; address visible; strongest alternate exterior."
"subjects\1623-menlo\1623-menlo-online-building-03.jpg","1623 Menlo Ave, Los Angeles, CA 90006","subject","Online interior gallery","https://www.apartments.com/1623-menlo-ave-los-angeles-ca/rhze5j3/","https://images1.apartments.com/i2/_ZbxA9oCEGh_UwX_H_6SrUHY5Jw0h98YE-_j7H2A5p4/117/1623-menlo-ave-los-angeles-ca-building-photo.jpg?p=1","2026-07-30","Exact property; 650x488; bathroom."
"subjects\1623-menlo\1623-menlo-online-building-04.jpg","1623 Menlo Ave, Los Angeles, CA 90006","subject","Online interior gallery","https://www.apartments.com/1623-menlo-ave-los-angeles-ca/rhze5j3/","https://images1.apartments.com/i2/aix7I5MjzDoyb4h5vMmsv6LUIvnESa5ynS0JADhuWCA/117/1623-menlo-ave-los-angeles-ca-building-photo.jpg?p=1","2026-07-30","Exact property; 650x488; kitchen/dining."
